223-roundedProviderScoreDescription,231-providerScoreRoundedPercent,224-nationalScorePercent,224-nationalScoreRoundedPercent,229-roundedProviderScoreDescription,227-nationalScorePercent,223-nationalScore,223-providerScore,231-nationalScorePercent,228-nationalScore,231-comparisonText,229-providerScore,227-nationalScoreRoundedPercent,225-comparisonText,229-nationalScoreRoundedPercent,230-roundedProviderScoreDescription,224-providerScore,230-resultsSortOrder,226-comparisonText,231-nationalScore,225-roundedNationalScoreDescription,228-resultsSortOrder,228-providerScoreRoundedPercent,224-providerScoreRoundedPercent,225-nationalScore,223-count,223-providerScorePercent,226-providerScoreRoundedPercent,226-nationalScoreRoundedPercent,229-nationalScorePercent,231-providerScore,227-question,231-count,229-nationalScore,231-nationalScoreRoundedPercent,231-providerScorePercent,227-count,230-comparisonText,231-roundedProviderScoreDescription,226-providerScore,229-question,224-roundedNationalScoreDescription,226-question,231-resultsSortOrder,223-resultsSortOrder,231-question,224-roundedProviderScoreDescription,223-roundedNationalScoreDescription,227-providerScore,224-resultsSortOrder,225-providerScoreRoundedPercent,227-roundedProviderScoreDescription,224-providerScorePercent,226-resultsSortOrder,226-providerScorePercent,228-nationalScorePercent,224-count,225-resultsSortOrder,223-comparisonText,224-nationalScore,230-question,227-nationalScore,225-count,226-roundedNationalScoreDescription,230-nationalScoreRoundedPercent,229-comparisonText,226-nationalScorePercent,226-count,227-providerScorePercent,225-question,225-providerScore,228-comparisonText,230-providerScorePercent,230-nationalScorePercent,229-providerScoreRoundedPercent,228-providerScore,227-providerScoreRoundedPercent,225-nationalScoreRoundedPercent,230-providerScoreRoundedPercent,healthgrades_id,225-providerScorePercent,228-roundedNationalScoreDescription,230-nationalScore,230-providerScore,230-roundedNationalScoreDescription,225-nationalScorePercent,227-roundedNationalScoreDescription,223-question,228-nationalScoreRoundedPercent,231-roundedNationalScoreDescription,229-resultsSortOrder,229-count,225-roundedProviderScoreDescription,223-nationalScoreRoundedPercent,226-roundedProviderScoreDescription,226-nationalScore,224-question,228-roundedProviderScoreDescription,228-providerScorePercent,remaining_survey_items,227-resultsSortOrder,229-roundedNationalScoreDescription,228-question,229-providerScorePercent,223-nationalScorePercent,227-comparisonText,230-count,224-comparisonText,223-providerScoreRoundedPercent,228-count
,85,86.0,85,,84.0,4.2,4.6,82.0,4.2,above national average,4.3,85,above national average,85,,4.6,,same as national average,4.1,,,85,90,4.2,21,92.0,85,80,84.0,4.3,Spends appropriate amount of time with patients,22,4.2,80,86.0,22,above national average,,4.3,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.3,,90,,92.0,,86.0,84.0,22,,above national average,4.3,Level of trust in provider's decisions,4.2,22,,85,above national average,78.0,19,86.0,Staff friendliness and courteousness,4.6,above national average,88.0,84.0,85,4.3,85,85,90,YFQPJ,92.0,,4.2,4.4,,84.0,,Ease of scheduling urgent appointments,85,,,22,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,86.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,86.0,84.0,above national average,22,above national average,90,22
,75,86.0,85,,84.0,4.2,4.4,82.0,4.2,below national average,4.4,85,above national average,85,,4.8,,shorter than national average,4.1,,,90,95,4.2,5,88.0,90,80,84.0,3.8,Spends appropriate amount of time with patients,6,4.2,80,76.0,5,above national average,,4.5,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.6,,95,,96.0,,90.0,84.0,5,,above national average,4.3,Level of trust in provider's decisions,4.2,5,,85,above national average,78.0,4,92.0,Staff friendliness and courteousness,4.8,above national average,96.0,84.0,90,4.4,90,85,95,YJRQY,96.0,,4.2,4.8,,84.0,,Ease of scheduling urgent appointments,85,,,5,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,88.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,88.0,84.0,above national average,5,above national average,90,5
,90,86.0,85,,84.0,4.2,4.4,82.0,4.2,above national average,4.2,85,above national average,85,,4.5,,same as national average,4.1,,,85,90,4.2,36,88.0,85,80,84.0,4.4,Spends appropriate amount of time with patients,39,4.2,80,88.0,39,above national average,,4.2,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.2,,90,,90.0,,84.0,84.0,37,,above national average,4.3,Level of trust in provider's decisions,4.2,37,,85,same as national average,78.0,34,84.0,Staff friendliness and courteousness,4.5,above national average,88.0,84.0,85,4.3,85,85,90,YS97Y,90.0,,4.2,4.4,,84.0,,Ease of scheduling urgent appointments,85,,,39,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,86.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,84.0,84.0,same as national average,39,above national average,90,39
,100,86.0,85,,84.0,4.2,5.0,82.0,4.2,above national average,5.0,85,above national average,85,,5.0,,,4.1,,,100,100,4.2,1,100.0,,,84.0,5.0,Spends appropriate amount of time with patients,1,4.2,80,100.0,1,above national average,,,How well provider explains medical condition(s),,,,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,100,,100.0,,,84.0,1,,above national average,4.3,Level of trust in provider's decisions,4.2,1,,85,above national average,,,100.0,Staff friendliness and courteousness,5.0,above national average,100.0,84.0,100,5.0,100,85,100,XXSVT,100.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,1,,85,,,"Office environment, cleanliness, comfort, etc.",,100.0,"{'223-sortOrder': 1, '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,1,above national average,100,1
,100,86.0,85,,84.0,4.2,4.6,82.0,4.2,above national average,4.9,85,above national average,85,,4.8,,same as national average,4.1,,,100,95,4.2,619,92.0,70,80,84.0,4.9,Spends appropriate amount of time with patients,667,4.2,80,98.0,662,above national average,,3.6,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.8,,95,,96.0,,72.0,84.0,660,,above national average,4.3,Level of trust in provider's decisions,4.2,657,,85,above national average,78.0,634,96.0,Staff friendliness and courteousness,4.8,above national average,98.0,84.0,100,4.9,95,85,100,YSK9C,96.0,,4.2,4.9,,84.0,,Ease of scheduling urgent appointments,85,,,659,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,98.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,98.0,84.0,above national average,661,above national average,90,660
,90,86.0,85,,84.0,4.2,4.7,82.0,4.2,above national average,4.6,85,above national average,85,,4.4,,same as national average,4.1,,,90,90,4.2,52,94.0,80,80,84.0,4.6,Spends appropriate amount of time with patients,54,4.2,80,92.0,53,above national average,,4.1,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.6,,90,,88.0,,82.0,84.0,52,,above national average,4.3,Level of trust in provider's decisions,4.2,52,,85,above national average,78.0,50,92.0,Staff friendliness and courteousness,4.6,above national average,92.0,84.0,90,4.6,90,85,90,Y4DKP,92.0,,4.2,4.6,,84.0,,Ease of scheduling urgent appointments,85,,,53,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,92.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,92.0,84.0,above national average,53,above national average,95,53
,100,86.0,85,,84.0,4.2,5.0,82.0,4.2,above national average,5.0,85,above national average,85,,5.0,,same as national average,4.1,,,100,100,4.2,9,100.0,85,80,84.0,5.0,Spends appropriate amount of time with patients,9,4.2,80,100.0,9,above national average,,4.3,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,100,,100.0,,86.0,84.0,9,,above national average,4.3,Level of trust in provider's decisions,4.2,9,,85,above national average,78.0,9,100.0,Staff friendliness and courteousness,5.0,above national average,100.0,84.0,100,5.0,100,85,100,38YN8,100.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,9,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,9,above national average,100,9
,100,86.0,85,,84.0,4.2,4.7,82.0,4.2,above national average,5.0,85,above national average,85,,4.9,,shorter than national average,4.1,,,100,100,4.2,7,94.0,95,80,84.0,5.0,Spends appropriate amount of time with patients,7,4.2,80,100.0,7,above national average,,4.7,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,100,,98.0,,94.0,84.0,7,,above national average,4.3,Level of trust in provider's decisions,4.2,7,,85,above national average,78.0,7,100.0,Staff friendliness and courteousness,5.0,above national average,100.0,84.0,100,5.0,100,85,100,Y6PSW,100.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,7,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,7,above national average,95,7
,100,86.0,85,,84.0,4.2,4.9,82.0,4.2,above national average,5.0,85,above national average,85,,4.9,,same as national average,4.1,,,100,100,4.2,85,98.0,85,80,84.0,5.0,Spends appropriate amount of time with patients,87,4.2,80,100.0,86,above national average,,4.3,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,100,,98.0,,86.0,84.0,86,,above national average,4.3,Level of trust in provider's decisions,4.2,86,,85,above national average,78.0,71,100.0,Staff friendliness and courteousness,4.9,above national average,100.0,84.0,100,5.0,100,85,100,XB5T5,98.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,86,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,86,above national average,100,86
,100,86.0,85,,84.0,4.2,4.4,82.0,4.2,above national average,4.9,85,above national average,85,,4.7,,same as national average,4.1,,,100,95,4.2,7,88.0,75,80,84.0,4.9,Spends appropriate amount of time with patients,7,4.2,80,98.0,7,above national average,,3.7,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.9,,95,,94.0,,74.0,84.0,6,,above national average,4.3,Level of trust in provider's decisions,4.2,7,,85,above national average,78.0,6,98.0,Staff friendliness and courteousness,4.7,above national average,94.0,84.0,100,4.9,100,85,95,2MWGF,94.0,,4.2,4.7,,84.0,,Ease of scheduling urgent appointments,85,,,7,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,98.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,98.0,84.0,above national average,7,above national average,90,7
