223-roundedProviderScoreDescription,231-providerScoreRoundedPercent,224-nationalScorePercent,224-nationalScoreRoundedPercent,229-roundedProviderScoreDescription,227-nationalScorePercent,223-nationalScore,223-providerScore,231-nationalScorePercent,228-nationalScore,231-comparisonText,229-providerScore,227-nationalScoreRoundedPercent,225-comparisonText,229-nationalScoreRoundedPercent,230-roundedProviderScoreDescription,224-providerScore,230-resultsSortOrder,226-comparisonText,231-nationalScore,225-roundedNationalScoreDescription,228-resultsSortOrder,228-providerScoreRoundedPercent,224-providerScoreRoundedPercent,225-nationalScore,223-count,223-providerScorePercent,226-providerScoreRoundedPercent,226-nationalScoreRoundedPercent,229-nationalScorePercent,231-providerScore,227-question,231-count,229-nationalScore,231-nationalScoreRoundedPercent,231-providerScorePercent,227-count,230-comparisonText,231-roundedProviderScoreDescription,226-providerScore,229-question,224-roundedNationalScoreDescription,226-question,231-resultsSortOrder,223-resultsSortOrder,231-question,224-roundedProviderScoreDescription,223-roundedNationalScoreDescription,227-providerScore,224-resultsSortOrder,225-providerScoreRoundedPercent,227-roundedProviderScoreDescription,224-providerScorePercent,226-resultsSortOrder,226-providerScorePercent,228-nationalScorePercent,224-count,225-resultsSortOrder,223-comparisonText,224-nationalScore,230-question,227-nationalScore,225-count,226-roundedNationalScoreDescription,230-nationalScoreRoundedPercent,229-comparisonText,226-nationalScorePercent,226-count,227-providerScorePercent,225-question,225-providerScore,228-comparisonText,230-providerScorePercent,230-nationalScorePercent,229-providerScoreRoundedPercent,228-providerScore,227-providerScoreRoundedPercent,225-nationalScoreRoundedPercent,230-providerScoreRoundedPercent,healthgrades_id,225-providerScorePercent,228-roundedNationalScoreDescription,230-nationalScore,230-providerScore,230-roundedNationalScoreDescription,225-nationalScorePercent,227-roundedNationalScoreDescription,223-question,228-nationalScoreRoundedPercent,231-roundedNationalScoreDescription,229-resultsSortOrder,229-count,225-roundedProviderScoreDescription,223-nationalScoreRoundedPercent,226-roundedProviderScoreDescription,226-nationalScore,224-question,228-roundedProviderScoreDescription,228-providerScorePercent,remaining_survey_items,227-resultsSortOrder,229-roundedNationalScoreDescription,228-question,229-providerScorePercent,223-nationalScorePercent,227-comparisonText,230-count,224-comparisonText,223-providerScoreRoundedPercent,228-count
,60,86.0,85,,84.0,4.2,4.0,82.0,4.2,below national average,3.0,85,below national average,85,,4.0,,longer than national average,4.1,,,60,80,4.2,2,80.0,60,80,84.0,3.0,Spends appropriate amount of time with patients,2,4.2,80,60.0,2,below national average,,3.0,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,3.0,,80,,80.0,,60.0,84.0,2,,below national average,4.3,Level of trust in provider's decisions,4.2,2,,85,below national average,78.0,2,60.0,Staff friendliness and courteousness,4.0,below national average,60.0,84.0,60,3.0,60,85,60,23YRR,80.0,,4.2,3.0,,84.0,,Ease of scheduling urgent appointments,85,,,2,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,60.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,60.0,84.0,below national average,2,below national average,80,2
,100,86.0,85,,84.0,4.2,4.3,82.0,4.2,above national average,5.0,85,above national average,85,,4.3,,same as national average,4.1,,,100,85,4.2,3,86.0,80,80,84.0,5.0,Spends appropriate amount of time with patients,3,4.2,80,100.0,3,above national average,,4.0,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,95,,86.0,,80.0,84.0,3,,above national average,4.3,Level of trust in provider's decisions,4.2,3,,85,above national average,78.0,3,100.0,Staff friendliness and courteousness,4.7,above national average,100.0,84.0,100,5.0,100,85,100,2XKJN,94.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,3,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,3,same as national average,85,3
,95,86.0,85,,84.0,4.2,4.7,82.0,4.2,above national average,4.8,85,above national average,85,,4.9,,longer than national average,4.1,,,95,100,4.2,38,94.0,60,80,84.0,4.8,Spends appropriate amount of time with patients,38,4.2,80,96.0,38,above national average,,3.1,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.8,,95,,98.0,,62.0,84.0,38,,above national average,4.3,Level of trust in provider's decisions,4.2,38,,85,above national average,78.0,37,96.0,Staff friendliness and courteousness,4.8,above national average,96.0,84.0,95,4.8,95,85,95,XYT5Y,96.0,,4.2,4.8,,84.0,,Ease of scheduling urgent appointments,85,,,38,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,96.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,96.0,84.0,above national average,38,above national average,95,38
,95,86.0,85,,84.0,4.2,4.6,82.0,4.2,above national average,4.7,85,above national average,85,,4.8,,shorter than national average,4.1,,,95,95,4.2,46,92.0,95,80,84.0,4.7,Spends appropriate amount of time with patients,46,4.2,80,94.0,46,above national average,,4.7,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.7,,95,,96.0,,94.0,84.0,46,,above national average,4.3,Level of trust in provider's decisions,4.2,46,,85,above national average,78.0,45,94.0,Staff friendliness and courteousness,4.7,above national average,94.0,84.0,95,4.8,95,85,95,3Y6G5,94.0,,4.2,4.7,,84.0,,Ease of scheduling urgent appointments,85,,,46,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,96.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,94.0,84.0,above national average,46,above national average,90,46
,100,86.0,85,,84.0,4.2,5.0,82.0,4.2,above national average,5.0,85,above national average,85,,5.0,,longer than national average,4.1,,,100,100,4.2,2,100.0,50,80,84.0,5.0,Spends appropriate amount of time with patients,2,4.2,80,100.0,2,above national average,,2.5,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,100,,100.0,,50.0,84.0,1,,above national average,4.3,Level of trust in provider's decisions,4.2,2,,85,above national average,78.0,2,100.0,Staff friendliness and courteousness,5.0,above national average,100.0,84.0,100,5.0,100,85,100,XSWM7,100.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,2,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,2,above national average,100,2
,70,86.0,85,,84.0,4.2,3.9,82.0,4.2,below national average,3.6,85,below national average,85,,4.3,,same as national average,4.1,,,70,85,4.2,18,78.0,70,80,84.0,3.5,Spends appropriate amount of time with patients,18,4.2,80,70.0,18,below national average,,3.5,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,3.4,,80,,86.0,,70.0,84.0,18,,below national average,4.3,Level of trust in provider's decisions,4.2,18,,85,below national average,78.0,17,68.0,Staff friendliness and courteousness,4.1,below national average,68.0,84.0,70,3.4,70,85,70,2QVSS,82.0,,4.2,3.4,,84.0,,Ease of scheduling urgent appointments,85,,,18,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,68.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,72.0,84.0,below national average,18,same as national average,80,18
,100,86.0,85,,84.0,4.2,4.8,82.0,4.2,above national average,4.9,85,above national average,85,,5.0,,same as national average,4.1,,,100,100,4.2,26,96.0,85,80,84.0,4.9,Spends appropriate amount of time with patients,27,4.2,80,98.0,27,above national average,,4.2,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.8,,100,,100.0,,84.0,84.0,27,,above national average,4.3,Level of trust in provider's decisions,4.2,27,,85,above national average,78.0,26,96.0,Staff friendliness and courteousness,4.9,above national average,98.0,84.0,100,4.9,95,85,100,2QKVB,98.0,,4.2,4.9,,84.0,,Ease of scheduling urgent appointments,85,,,27,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,98.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,98.0,84.0,above national average,27,above national average,95,27
,100,86.0,85,,84.0,4.2,4.7,82.0,4.2,above national average,5.0,85,above national average,85,,4.9,,same as national average,4.1,,,100,100,4.2,12,94.0,80,80,84.0,5.0,Spends appropriate amount of time with patients,13,4.2,80,100.0,13,above national average,,4.1,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,5.0,,95,,98.0,,82.0,84.0,13,,above national average,4.3,Level of trust in provider's decisions,4.2,13,,85,above national average,78.0,12,100.0,Staff friendliness and courteousness,4.8,above national average,100.0,84.0,100,5.0,100,85,100,2LM7L,96.0,,4.2,5.0,,84.0,,Ease of scheduling urgent appointments,85,,,13,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,100.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,100.0,84.0,above national average,13,above national average,95,13
,80,86.0,85,,84.0,4.2,3.9,82.0,4.2,below national average,4.0,85,above national average,85,,4.4,,same as national average,4.1,,,80,90,4.2,7,78.0,85,80,84.0,3.9,Spends appropriate amount of time with patients,7,4.2,80,78.0,7,below national average,,4.3,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.1,,95,,88.0,,86.0,84.0,7,,below national average,4.3,Level of trust in provider's decisions,4.2,7,,85,below national average,78.0,7,82.0,Staff friendliness and courteousness,4.7,below national average,78.0,84.0,80,3.9,80,85,80,XWH69,94.0,,4.2,3.9,,84.0,,Ease of scheduling urgent appointments,85,,,7,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,78.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,80.0,84.0,below national average,7,above national average,80,7
,90,86.0,85,,84.0,4.2,4.2,82.0,4.2,above national average,4.2,85,above national average,85,,4.4,,same as national average,4.1,,,85,90,4.2,10,84.0,80,80,84.0,4.4,Spends appropriate amount of time with patients,11,4.2,80,88.0,10,above national average,,4.1,How well provider explains medical condition(s),,Total wait time (waiting & exam rooms),,,Likelihood of recommending {Provider Last Name} to family and friends,,,4.4,,85,,88.0,,82.0,84.0,11,,same as national average,4.3,Level of trust in provider's decisions,4.2,11,,85,same as national average,78.0,10,88.0,Staff friendliness and courteousness,4.3,above national average,86.0,84.0,85,4.3,90,85,85,22GSW,86.0,,4.2,4.3,,84.0,,Ease of scheduling urgent appointments,85,,,10,,85,,3.9,"Office environment, cleanliness, comfort, etc.",,86.0,"{'226-sortOrder': 4, '223-sortOrder': 1, '226-questionID': u'226', '225-sortOrder': 3, '230-questionID': u'230', '230-sortOrder': 5, '231-sortOrder': 9, '229-sortOrder': 6, '224-sortOrder': 2, '228-questionID': u'228', '228-sortOrder': 7, '225-questionID': u'225', '223-questionID': u'223', '229-questionID': u'229', '227-questionID': u'227', '224-questionID': u'224', '231-questionID': u'231', '227-sortOrder': 8}",,,How well provider listens and answers questions,84.0,84.0,above national average,10,above national average,85,10
